Customer ID,Age,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total
1021,98,Female,No,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,2024-03-20,Overnight,"Accessory,Extended Warranty",49.54
1022,57,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,2024-04-27,Overnight,"Impulse Item,Accessory,Impulse Item",73.49
1024,36,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,2024-07-10,Overnight,"Extended Warranty,Impulse Item",51.93
1025,94,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,2024-01-29,Overnight,,0
1025,66,Female,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,2024-08-28,Express,"Extended Warranty,Extended Warranty",77.78
1027,79,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,2023-11-28,Overnight,,0
1028,52,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2023-11-30,Overnight,,0
1030,62,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2024-02-27,Express,"Accessory,Impulse Item,Accessory",46.03
1031,62,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-21,Express,,0
1031,38,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,2024-09-03,Overnight,"Accessory,Accessory",17.79
1033,74,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,2023-11-30,Overnight,,0
1033,74,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,2024-01-12,Standard,"Accessory,Accessory",49.24
1035,43,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,2023-09-24,Standard,,0
1035,43,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,2024-03-25,Standard,"Accessory,Accessory",33.56
1036,33,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,2023-10-12,Standard,"Extended Warranty,Impulse Item",56.62
1036,98,Male,No,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,2024-01-28,Express,,0
1038,99,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,2024-07-08,Overnight,Extended Warranty,10
1038,44,Female,No,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,2024-07-29,Standard,,0
1038,23,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,145.25,20.75,7,2024-08-17,Express,"Accessory,Extended Warranty",47.94
1038,84,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-09-23,Overnight,"Extended Warranty,Accessory",26.01
1039,63,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1729.21,247.03,7,2024-08-31,Standard,,0
1040,64,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,6329.52,791.19,8,2023-10-16,Standard,"Accessory,Extended Warranty,Extended Warranty",92.79
1042,51,Female,Yes,Smartphone,SKU1001,5,Cancelled,Credit Card,145.25,20.75,7,2024-06-26,Overnight,"Impulse Item,Impulse Item",53.02
1042,79,Male,No,Smartwatch,SKU1003,3,Completed,Cash,5913.81,844.83,7,2024-07-16,Overnight,"Impulse Item,Accessory,Extended Warranty",111.25
1043,79,Male,Yes,Smartphone,SKU1001,5,Completed,Debit Card,207.5,20.75,10,2024-03-05,Overnight,,0
1047,46,Male,No,Tablet,SKU1002,3,Completed,Debit Card,2470.3,247.03,10,2023-12-11,Express,"Accessory,Impulse Item",63.23
1048,97,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,2470.3,247.03,10,2023-10-28,Express,,0
1049,30,Female,Yes,Smartphone,SKU1001,5,Completed,Paypal,145.25,20.75,7,2024-06-25,Standard,"Accessory,Impulse Item,Accessory",86.36
1052,100,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,5068.98,844.83,6,2024-08-03,Standard,Accessory,45.46
1053,36,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,2023-12-20,Standard,"Impulse Item,Impulse Item,Accessory",88.3
1054,30,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,2024-05-08,Standard,"Impulse Item,Extended Warranty,Impulse Item",79.9
1056,97,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-04-27,Overnight,"Accessory,Extended Warranty",41.24
1057,18,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,7603.47,844.83,9,2023-10-22,Express,,0
1057,18,Female,No,Tablet,SKU1002,3,Cancelled,Debit Card,1482.18,247.03,6,2024-03-28,Express,"Extended Warranty,Accessory,Impulse Item",116.77
1058,49,Female,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,2024-06-12,Overnight,"Impulse Item,Accessory,Accessory",92.57
1058,49,Female,Yes,Smartphone,SKU1004,2,Cancelled,Credit Card,3955.95,791.19,5,2024-07-08,Express,,0
1059,18,Male,No,Laptop,SKU1005,3,Completed,Paypal,3247.72,463.96,7,2024-02-22,Overnight,"Extended Warranty,Extended Warranty",66.17
1059,55,Female,No,Laptop,SKU1005,3,Completed,Debit Card,463.96,463.96,1,2024-06-27,Express,Extended Warranty,5.52
1060,99,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2023-09-28,Standard,"Accessory,Impulse Item,Extended Warranty",52.01
1060,26,Male,No,Tablet,SKU1002,3,Completed,Paypal,1482.18,247.03,6,2023-12-07,Overnight,Impulse Item,31.89
1060,26,Male,No,Smartphone,SKU1004,2,Completed,Paypal,1582.38,791.19,2,2024-01-29,Overnight,Impulse Item,49.59
1061,57,Male,No,Tablet,SKU1002,3,Completed,Cash,1976.24,247.03,8,2023-10-25,Standard,Impulse Item,14.49
1061,57,Male,Yes,Laptop,SKU1005,3,Completed,Paypal,463.96,463.96,1,2024-05-21,Express,"Impulse Item,Accessory",83.41
1062,95,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,6329.52,791.19,8,2024-03-23,Standard,"Impulse Item,Extended Warranty",26.24
1063,91,Male,No,Laptop,SKU1005,3,Completed,Paypal,1855.84,463.96,4,2024-04-25,Standard,,0
1063,91,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,2373.57,791.19,3,2024-07-08,Express,Extended Warranty,6.47
1066,94,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,2373.57,791.19,3,2024-02-28,Standard,"Accessory,Extended Warranty,Impulse Item",43.16
1066,94,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,2024-07-13,Overnight,"Extended Warranty,Impulse Item",40.68
1067,53,Male,Yes,Tablet,SKU1002,3,Cancelled,Paypal,1729.21,247.03,7,2023-10-17,Standard,,0
1067,53,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2023-12-30,Standard,"Impulse Item,Accessory,Impulse Item",81.55
1069,36,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,145.25,20.75,7,2024-05-21,Standard,"Accessory,Extended Warranty",96.61
1070,30,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,62.25,20.75,3,2023-11-29,Standard,Extended Warranty,6.3
1071,32,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,7603.47,844.83,9,2024-06-17,Overnight,,0
1073,94,Female,No,Tablet,SKU1002,3,Completed,Cash,2223.27,247.03,9,2024-07-11,Standard,Accessory,8.66
1073,64,Female,No,Tablet,SKU1002,3,Completed,Credit Card,1976.24,247.03,8,2024-09-12,Express,Extended Warranty,46.38
1074,25,Male,Yes,Smartwatch,SKU1003,3,Completed,Cash,7603.47,844.83,9,2023-11-06,Standard,"Accessory,Impulse Item",58.95
1077,96,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,2373.57,791.19,3,2023-12-26,Express,Extended Warranty,12.28
1077,24,Male,No,Tablet,SKU1002,3,Completed,Cash,1482.18,247.03,6,2024-05-14,Overnight,"Impulse Item,Accessory",12.86
1079,41,Male,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,2023-10-24,Standard,Impulse Item,25.61
1079,41,Male,No,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,2024-09-12,Overnight,Impulse Item,8.16
1079,41,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,2373.57,791.19,3,2024-09-15,Overnight,"Extended Warranty,Accessory,Extended Warranty",101.06
1080,67,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,3164.76,791.19,4,2024-01-03,Standard,,0
1080,22,Male,No,Tablet,SKU1002,3,Completed,Credit Card,247.03,247.03,1,2024-08-18,Express,Impulse Item,16.65
1083,27,Male,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-07-29,Overnight,,0
1085,81,Male,No,Smartphone,SKU1001,5,Completed,Cash,20.75,20.75,1,2023-10-11,Express,"Impulse Item,Impulse Item,Extended Warranty",91.36
1085,81,Male,Yes,Tablet,SKU1002,3,Completed,Cash,741.09,247.03,3,2024-05-02,Overnight,Extended Warranty,10.04
1086,55,Male,No,Smartphone,SKU1001,5,Completed,Paypal,166,20.75,8,2024-07-01,Overnight,Accessory,25.72
1089,100,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2024-08-09,Express,,0
1090,52,Male,Yes,Tablet,SKU1002,3,Cancelled,Debit Card,741.09,247.03,3,2024-05-04,Express,Extended Warranty,22.88
1091,42,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Credit Card,1689.66,844.83,2,2024-03-22,Express,"Impulse Item,Extended Warranty",14.52
1093,32,Female,No,Smartphone,SKU1004,2,Completed,Credit Card,7120.71,791.19,9,2024-04-27,Express,Impulse Item,29.11
1094,80,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,20.75,20.75,1,2024-05-07,Overnight,,0
1096,45,Female,No,Smartphone,SKU1001,5,Completed,Paypal,41.5,20.75,2,2023-12-13,Standard,Accessory,27.89
1096,19,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4639.6,463.96,10,2024-05-15,Overnight,"Extended Warranty,Extended Warranty",85.32
1097,97,Male,No,Tablet,SKU1002,3,Completed,Paypal,988.12,247.03,4,2024-03-25,Express,"Accessory,Accessory",51.12
1099,59,Female,No,Smartphone,SKU1004,2,Cancelled,Credit Card,1582.38,791.19,2,2023-10-09,Standard,"Impulse Item,Extended Warranty,Impulse Item",100.12
1099,59,Female,Yes,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,2024-05-31,Overnight,,0
1100,49,Female,Yes,Tablet,SKU1002,3,Completed,Credit Card,741.09,247.03,3,2024-02-29,Express,Extended Warranty,35.79
1100,49,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,3379.32,844.83,4,2024-05-19,Overnight,"Impulse Item,Impulse Item,Extended Warranty",48.78
1101,77,Female,No,Smartphone,SKU1001,5,Completed,Cash,207.5,20.75,10,2023-10-09,Standard,"Accessory,Accessory",88.38
1101,49,Female,Yes,Smartphone,SKU1004,2,Cancelled,Credit Card,791.19,791.19,1,2023-10-25,Overnight,Impulse Item,32.35
1101,76,Female,No,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,2024-05-23,Overnight,"Impulse Item,Extended Warranty,Impulse Item",125.35
1101,49,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,2024-07-23,Express,"Impulse Item,Accessory",77.61
1102,31,Male,No,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,2024-08-06,Express,,0
1105,97,Female,No,Tablet,SKU1002,3,Completed,Debit Card,1482.18,247.03,6,2024-09-20,Overnight,"Impulse Item,Accessory,Extended Warranty",102
1109,95,Female,Yes,Laptop,SKU1005,3,Cancelled,Debit Card,1855.84,463.96,4,2024-03-25,Overnight,"Accessory,Impulse Item,Accessory",104.93
1109,74,Male,No,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2024-07-13,Overnight,Accessory,42.66
1110,45,Male,No,Smartphone,SKU1001,5,Completed,Credit Card,207.5,20.75,10,2024-07-11,Express,,0
1112,55,Female,Yes,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,2024-02-15,Overnight,"Accessory,Accessory",63.79
1112,42,Female,No,Tablet,SKU1002,3,Completed,Paypal,2223.27,247.03,9,2024-06-19,Express,"Extended Warranty,Extended Warranty",48.57
1114,84,Female,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,2024-01-31,Overnight,"Impulse Item,Extended Warranty,Extended Warranty",71.97
1115,42,Female,No,Smartphone,SKU1004,2,Cancelled,Cash,791.19,791.19,1,2023-12-30,Overnight,"Impulse Item,Accessory",53.95
1115,26,Male,No,Smartwatch,SKU1003,3,Completed,Paypal,844.83,844.83,1,2024-06-04,Overnight,,0
1115,42,Female,No,Tablet,SKU1002,3,Completed,Debit Card,247.03,247.03,1,2024-09-10,Standard,,0
1116,76,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,4175.64,463.96,9,2024-01-10,Overnight,Extended Warranty,15.85
1116,76,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2024-05-20,Express,,0
1117,83,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,1689.66,844.83,2,2024-03-06,Overnight,"Impulse Item,Accessory",48.25
1119,25,Male,Yes,Tablet,SKU1002,3,Completed,Credit Card,1482.18,247.03,6,2024-01-12,Standard,"Accessory,Impulse Item",65.34
1120,63,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,186.75,20.75,9,2023-12-13,Express,Extended Warranty,48.52
1120,81,Female,No,Smartphone,SKU1001,5,Cancelled,Credit Card,103.75,20.75,5,2024-02-25,Express,,0
1122,57,Male,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,2024-09-15,Express,,0
1123,23,Male,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,6758.64,844.83,8,2024-04-09,Overnight,"Extended Warranty,Accessory",54.15
1123,23,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,791.19,791.19,1,2024-08-12,Standard,Accessory,5.86
1124,93,Female,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,2024-02-12,Overnight,,0
1124,93,Female,Yes,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-02-26,Standard,"Extended Warranty,Accessory,Extended Warranty",85.04
1124,93,Female,No,Smartphone,SKU1004,2,Completed,Paypal,3164.76,791.19,4,2024-09-05,Overnight,"Impulse Item,Extended Warranty,Impulse Item",104.82
1125,55,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-01-08,Express,,0
1125,55,Male,No,Laptop,SKU1005,3,Completed,Cash,3711.68,463.96,8,2024-08-24,Standard,"Impulse Item,Impulse Item,Accessory",67.21
1127,29,Male,No,Smartwatch,SKU1003,3,Completed,Paypal,6758.64,844.83,8,2023-12-06,Express,"Impulse Item,Impulse Item",65.02
1127,93,Male,Yes,Smartphone,SKU1001,5,Cancelled,Paypal,166,20.75,8,2024-03-22,Express,"Extended Warranty,Accessory,Accessory",63.03
1129,86,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,20.75,20.75,1,2023-12-09,Overnight,,0
1130,98,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,4747.14,791.19,6,2023-11-04,Express,"Impulse Item,Extended Warranty",46.92
1132,62,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-05-02,Standard,"Extended Warranty,Extended Warranty",48.93
1133,61,Male,No,Laptop,SKU1005,3,Completed,Cash,1391.88,463.96,3,2024-03-27,Express,Accessory,39.14
1133,61,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,2024-07-06,Standard,"Extended Warranty,Extended Warranty,Impulse Item",81.34
1134,74,Male,No,Smartphone,SKU1004,2,Completed,Paypal,6329.52,791.19,8,2023-12-01,Express,"Extended Warranty,Impulse Item",68.66
1134,74,Male,No,Laptop,SKU1005,3,Completed,Debit Card,927.92,463.96,2,2023-12-22,Overnight,"Impulse Item,Extended Warranty",43.76
1134,74,Male,No,Laptop,SKU1005,3,Cancelled,Debit Card,3711.68,463.96,8,2024-06-10,Express,"Extended Warranty,Extended Warranty,Extended Warranty",102.64
1134,74,Male,No,Smartphone,SKU1004,2,Completed,Paypal,7120.71,791.19,9,2024-07-22,Standard,,0
1136,99,Female,No,Smartwatch,SKU1003,3,Completed,Credit Card,844.83,844.83,1,2023-12-14,Overnight,Accessory,41.06
1139,98,Female,No,Smartphone,SKU1004,2,Cancelled,Debit Card,6329.52,791.19,8,2024-09-21,Overnight,"Extended Warranty,Extended Warranty,Accessory",46.71
1141,32,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,20.75,20.75,1,2023-12-02,Express,Extended Warranty,11.92
1141,36,Male,Yes,Laptop,SKU1005,3,Completed,Credit Card,1391.88,463.96,3,2023-12-30,Standard,Impulse Item,42.12
1141,36,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3711.68,463.96,8,2024-04-14,Standard,"Impulse Item,Extended Warranty",60.23
1142,86,Female,No,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,2023-10-26,Standard,Accessory,33.15
1143,79,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,2023-12-06,Express,,0
1144,67,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,844.83,844.83,1,2024-02-26,Overnight,"Extended Warranty,Accessory",89.92
1145,77,Female,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,2024-01-19,Overnight,Extended Warranty,16.42
1145,90,Female,No,Smartphone,SKU1001,5,Completed,Paypal,62.25,20.75,3,2024-05-23,Express,Extended Warranty,23.28
1145,77,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,5068.98,844.83,6,2024-09-13,Express,Extended Warranty,12
1147,79,Male,No,Smartwatch,SKU1003,3,Completed,Cash,8448.3,844.83,10,2024-07-19,Overnight,"Impulse Item,Accessory,Accessory",85.51
1148,89,Female,Yes,Tablet,SKU1002,3,Completed,Cash,2470.3,247.03,10,2024-03-05,Standard,,0
1148,76,Male,No,Laptop,SKU1005,3,Cancelled,Credit Card,927.92,463.96,2,2024-03-14,Standard,,0
1148,56,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3955.95,791.19,5,2024-08-17,Standard,"Impulse Item,Impulse Item,Extended Warranty",102.68
1149,82,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,3379.32,844.83,4,2023-10-30,Overnight,"Extended Warranty,Accessory,Impulse Item",46.83
1149,37,Female,No,Smartphone,SKU1001,5,Cancelled,Paypal,103.75,20.75,5,2024-07-06,Express,Impulse Item,35.49
1149,37,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,2024-08-11,Express,"Accessory,Extended Warranty,Accessory",90.09
1150,76,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,5538.33,791.19,7,2024-03-16,Express,Accessory,35.65
1151,76,Female,No,Tablet,SKU1002,3,Completed,Paypal,1235.15,247.03,5,2024-04-10,Express,"Impulse Item,Impulse Item",76.73
1151,76,Female,Yes,Smartphone,SKU1001,5,Cancelled,Cash,166,20.75,8,2024-07-18,Express,,0
1152,21,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,124.5,20.75,6,2024-02-10,Express,"Impulse Item,Impulse Item,Accessory",66.83
1154,78,Female,No,Laptop,SKU1005,3,Completed,Credit Card,463.96,463.96,1,2024-09-09,Overnight,,0
1155,90,Male,Yes,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,2024-03-17,Express,"Impulse Item,Accessory,Extended Warranty",72.69
1155,46,Female,No,Smartphone,SKU1004,2,Completed,Cash,3955.95,791.19,5,2024-05-22,Express,Extended Warranty,14.41
1160,28,Female,No,Smartphone,SKU1001,5,Cancelled,Debit Card,83,20.75,4,2024-09-04,Express,"Impulse Item,Extended Warranty",57.28
1162,42,Male,No,Smartwatch,SKU1003,3,Cancelled,Paypal,3379.32,844.83,4,2024-08-02,Overnight,"Impulse Item,Impulse Item",57.06
1167,85,Female,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,2023-12-05,Express,"Impulse Item,Accessory",61.43
1168,100,Female,No,Laptop,SKU1005,3,Cancelled,Paypal,1391.88,463.96,3,2023-10-27,Overnight,,0
1169,92,Female,Yes,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,2023-10-03,Overnight,,0
1169,80,Female,No,Laptop,SKU1005,3,Cancelled,Credit Card,2783.76,463.96,6,2024-05-23,Overnight,"Impulse Item,Accessory",54.39
1170,59,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,5538.33,791.19,7,2024-04-01,Overnight,"Extended Warranty,Extended Warranty",76.57
1171,50,Male,No,Laptop,SKU1005,3,Completed,Debit Card,3247.72,463.96,7,2023-10-08,Standard,"Accessory,Accessory,Impulse Item",97.1
1171,50,Male,No,Laptop,SKU1005,3,Completed,Credit Card,4175.64,463.96,9,2023-12-15,Overnight,"Accessory,Extended Warranty",52.57
1171,50,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,2024-08-06,Standard,"Extended Warranty,Extended Warranty",89.46
1171,50,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,2024-09-07,Overnight,,0
1174,61,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,62.25,20.75,3,2024-02-11,Overnight,Extended Warranty,11.75
1174,61,Male,Yes,Tablet,SKU1002,3,Cancelled,Credit Card,988.12,247.03,4,2024-08-13,Standard,"Extended Warranty,Accessory,Impulse Item",95.57
1175,37,Male,No,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,2023-11-05,Standard,,0
1175,75,Female,No,Laptop,SKU1005,3,Completed,Credit Card,3247.72,463.96,7,2024-09-17,Express,"Extended Warranty,Accessory,Extended Warranty",108.15
1177,70,Female,No,Laptop,SKU1005,3,Completed,Paypal,2783.76,463.96,6,2024-05-30,Overnight,"Impulse Item,Impulse Item,Impulse Item",69
1178,93,Female,Yes,Tablet,SKU1002,3,Cancelled,Credit Card,247.03,247.03,1,2024-04-23,Overnight,"Impulse Item,Impulse Item",45.32
1180,86,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,2024-03-15,Express,,0
1181,97,Male,Yes,Smartphone,SKU1004,2,Completed,Paypal,3955.95,791.19,5,2024-08-04,Standard,Impulse Item,35.87
1182,92,Male,Yes,Smartphone,SKU1004,2,Completed,Debit Card,3955.95,791.19,5,2023-11-15,Standard,Accessory,37.96
1182,92,Male,No,Smartphone,SKU1004,2,Completed,Debit Card,7911.9,791.19,10,2023-11-17,Overnight,Accessory,16.81
1183,27,Male,No,Laptop,SKU1005,3,Cancelled,Credit Card,463.96,463.96,1,2023-09-29,Standard,"Impulse Item,Extended Warranty,Extended Warranty",133.13
1183,27,Male,No,Tablet,SKU1002,3,Cancelled,Paypal,247.03,247.03,1,2024-09-18,Standard,,0
1184,73,Female,No,Laptop,SKU1005,3,Completed,Debit Card,1391.88,463.96,3,2024-08-09,Express,"Accessory,Extended Warranty,Accessory",90.9
1185,46,Male,No,Smartwatch,SKU1003,3,Cancelled,Cash,2534.49,844.83,3,2024-02-06,Express,,0
1186,91,Male,No,Tablet,SKU1002,3,Cancelled,Credit Card,247.03,247.03,1,2023-12-01,Express,"Accessory,Accessory,Accessory",125.76
1187,87,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,2534.49,844.83,3,2024-02-02,Express,,0
1188,80,Male,Yes,Smartphone,SKU1004,2,Completed,Credit Card,2373.57,791.19,3,2024-01-28,Standard,"Impulse Item,Extended Warranty,Accessory",75.39
1188,37,Female,No,Tablet,SKU1002,3,Cancelled,Credit Card,1976.24,247.03,8,2024-08-21,Standard,"Extended Warranty,Impulse Item",86.82
